Measurement,MeasurementNote,ResourceType,Database,Metric,MetricNote,MetricUnit
"kernel_vmstat","kernel vmstat","host","telegraf","nr_mapped","(integer, nr_mapped)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","nr_file_pages","(integer, nr_file_pages)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","nr_dirty","(integer, nr_dirty)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","nr_writeback","(integer, nr_writeback)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","nr_slab_reclaimable","(integer, nr_slab_reclaimable)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","nr_slab_unreclaimable","(integer, nr_slab_unreclaimable)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","nr_page_table_pages","(integer, nr_page_table_pages)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","nr_kernel_stack","(integer, nr_kernel_stack)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","nr_unstable","(integer, nr_unstable)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","nr_bounce","(integer, nr_bounce)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","nr_vmscan_write","(integer, nr_vmscan_write)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","nr_writeback_temp","(integer, nr_writeback_temp)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","nr_isolated_anon","(integer, nr_isolated_anon)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","nr_isolated_file","(integer, nr_isolated_file)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","nr_shmem","(integer, nr_shmem)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","numa_hit","(integer, numa_hit)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","numa_miss","(integer, numa_miss)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","numa_foreign","(integer, numa_foreign)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","numa_interleave","(integer, numa_interleave)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","numa_local","(integer, numa_local)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","numa_other","(integer, numa_other)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","nr_anon_transparent_hugepages","(integer, nr_anon_transparent_hugepages)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgpgin","(integer, pgpgin)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgpgout","(integer, pgpgout)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pswpin","(integer, pswpin)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pswpout","(integer, pswpout)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgalloc_dma","(integer, pgalloc_dma)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgalloc_dma32","(integer, pgalloc_dma32)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgalloc_normal","(integer, pgalloc_normal)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgalloc_movable","(integer, pgalloc_movable)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgfree","(integer, pgfree)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgactivate","(integer, pgactivate)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgdeactivate","(integer, pgdeactivate)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgfault","(integer, pgfault)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgmajfault","(integer, pgmajfault)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgrefill_dma","(integer, pgrefill_dma)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgrefill_dma32","(integer, pgrefill_dma32)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgrefill_normal","(integer, pgrefill_normal)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgrefill_movable","(integer, pgrefill_movable)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgsteal_dma","(integer, pgsteal_dma)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgsteal_dma32","(integer, pgsteal_dma32)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgsteal_normal","(integer, pgsteal_normal)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgsteal_movable","(integer, pgsteal_movable)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgscan_kswapd_dma","(integer, pgscan_kswapd_dma)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgscan_kswapd_dma32","(integer, pgscan_kswapd_dma32)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgscan_kswapd_normal","(integer, pgscan_kswapd_normal)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgscan_kswapd_movable","(integer, pgscan_kswapd_movable)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgscan_direct_dma","(integer, pgscan_direct_dma)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgscan_direct_dma32","(integer, pgscan_direct_dma32)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgscan_direct_normal","(integer, pgscan_direct_normal)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgscan_direct_movable","(integer, pgscan_direct_movable)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","zone_reclaim_failed","(integer, zone_reclaim_failed)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pginodesteal","(integer, pginodesteal)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","slabs_scanned","(integer, slabs_scanned)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","kswapd_steal","(integer, kswapd_steal)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","kswapd_inodesteal","(integer, kswapd_inodesteal)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","kswapd_low_wmark_hit_quickly","(integer, kswapd_low_wmark_hit_quickly)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","kswapd_high_wmark_hit_quickly","(integer, kswapd_high_wmark_hit_quickly)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","kswapd_skip_congestion_wait","(integer, kswapd_skip_congestion_wait)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pageoutrun","(integer, pageoutrun)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","allocstall","(integer, allocstall)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","pgrotated","(integer, pgrotated)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","compact_blocks_moved","(integer, compact_blocks_moved)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","compact_pages_moved","(integer, compact_pages_moved)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","compact_pagemigrate_failed","(integer, compact_pagemigrate_failed)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","compact_stall","(integer, compact_stall)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","compact_fail","(integer, compact_fail)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","compact_success","(integer, compact_success)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","htlb_buddy_alloc_success","(integer, htlb_buddy_alloc_success)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","htlb_buddy_alloc_fail","(integer, htlb_buddy_alloc_fail)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","unevictable_pgs_culled","(integer, unevictable_pgs_culled)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","unevictable_pgs_scanned","(integer, unevictable_pgs_scanned)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","unevictable_pgs_rescued","(integer, unevictable_pgs_rescued)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","unevictable_pgs_mlocked","(integer, unevictable_pgs_mlocked)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","unevictable_pgs_munlocked","(integer, unevictable_pgs_munlocked)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","unevictable_pgs_cleared","(integer, unevictable_pgs_cleared)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","unevictable_pgs_stranded","(integer, unevictable_pgs_stranded)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","unevictable_pgs_mlockfreed","(integer, unevictable_pgs_mlockfreed)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","thp_fault_alloc","(integer, thp_fault_alloc)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","thp_fault_fallback","(integer, thp_fault_fallback)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","thp_collapse_alloc","(integer, thp_collapse_alloc)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","thp_collapse_alloc_failed","(integer, thp_collapse_alloc_failed)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","thp_split","(integer, thp_split)","count"
"mysql","mysql","ext_mysql","telegraf","binary_size_bytes","binary_size_bytes","byte"
"mysql","mysql","ext_mysql","telegraf","binary_files_count","binary_files_count","count"
"mysql","mysql","ext_mysql","telegraf","connections","connections","count"
"mysql","mysql","ext_mysql","telegraf","table_io_waits_total_fetch","table_io_waits_total_fetch","count"
"mysql","mysql","ext_mysql","telegraf","table_io_waits_seconds_total_fetch","table_io_waits_seconds_total_fetch","ms"
"mysql","mysql","ext_mysql","telegraf","index_io_waits_total_fetch","index_io_waits_total_fetch","count"
"mysql","mysql","ext_mysql","telegraf","index_io_waits_seconds_total_fetch","index_io_waits_seconds_total_fetch","ms"
"mysql","mysql","ext_mysql","telegraf","info_schema_table_rows","info_schema_table_rows","count"
"mysql","mysql","ext_mysql","telegraf","info_schema_table_size_data_length","info_schema_table_size_data_length","count"
"mysql","mysql","ext_mysql","telegraf","info_schema_table_size_index_length","info_schema_table_size_index_length","count"
"netstat","netstat","host","telegraf","tcp_established","","count"
"netstat","netstat","host","telegraf","tcp_syn_sent","","count"
"netstat","netstat","host","telegraf","tcp_syn_recv","","count"
"netstat","netstat","host","telegraf","tcp_fin_wait1","","count"
"netstat","netstat","host","telegraf","tcp_fin_wait2","","count"
"netstat","netstat","host","telegraf","tcp_time_wait","","count"
"netstat","netstat","host","telegraf","tcp_close","","count"
"netstat","netstat","host","telegraf","tcp_close_wait","","count"
"netstat","netstat","host","telegraf","tcp_last_ack","","count"
"netstat","netstat","host","telegraf","tcp_listen","","count"
"netstat","netstat","host","telegraf","tcp_closing","","count"
"netstat","netstat","host","telegraf","tcp_none","","count"
"netstat","netstat","host","telegraf","udp_socket","","count"
"ntpq","standard NTP query metrics","host","telegraf","delay","(float, milliseconds)","ms"
"ntpq","standard NTP query metrics","host","telegraf","jitter","(float, milliseconds)","ms"
"ntpq","standard NTP query metrics","host","telegraf","offset","(float, milliseconds)","ms"
"ntpq","standard NTP query metrics","host","telegraf","poll","(int, seconds)","s"
"ntpq","standard NTP query metrics","host","telegraf","reach","(int)","count"
"ntpq","standard NTP query metrics","host","telegraf","when","(int, seconds)","s"
"oss_latency","Object storage latency","oss","telegraf","req_late","Request average E2E delay","ms"
"oss_netio","Object storage network traffic","oss","telegraf","bps_recv","Receive byte","byte"
"oss_netio","Object storage network traffic","oss","telegraf","bps_sent","Send byte","byte"
"oss_req","Object store request","oss","telegraf","req_count","request count","count"
"ping","Ping monitor","host","telegraf","packets_transmitted","used SNAT port count","count"
"ping","Ping monitor","host","telegraf","packets_received","SNAT connection count","count"
"ping","Ping monitor","host","telegraf","percent_packet_loss","Packet loss rate in percetile","%"
"ping","Ping monitor","host","telegraf","ttl","TTL count","count"
"ping","Ping monitor","host","telegraf","average_response_ms","average_response_ms","ms"
"ping","Ping monitor","host","telegraf","minimum_response_ms","minimum response ms","ms"
"ping","Ping monitor","host","telegraf","maximum_response_ms","maximum_response_ms","ms"
"ping","Ping monitor","host","telegraf","standard_deviation_ms","standard_deviation_ms","ms"
"ping","Ping monitor","host","telegraf","percentile50_ms","SNAT connection count","ms"
"ping","Ping monitor","host","telegraf","errors","SNAT connection count","count"
"ping","Ping monitor","host","telegraf","result_code","Ping result code, success = 0, no such host = 1, ping error = 2","NULL"
"pod_cpu","Pod cpu","container","telegraf","usage_rate","Pod cpu usage rate","%"
"pod_mem","Pod memory","container","telegraf","usage_rate","Pod memory usage rate","%"
"pod_mem","Pod memory","container","telegraf","working_set_bytes","Pod memory working set bytes","byte"
"pod_volume","Pod volume","container","telegraf","free","Pod volume free size","byte"
"pod_volume","Pod volume","container","telegraf","used","Pod volume used size","byte"
"pod_volume","Pod volume","container","telegraf","used_percent","Pod volume used percent","%"
"pod_volume","Pod volume","container","telegraf","inodes_total","Pod volume inodes total count","count"
"pod_volume","Pod volume","container","telegraf","inodes_free","Pod volume inodes free count","count"
"pod_volume","Pod volume","container","telegraf","inodes_used","Pod volume inodes used count","count"
"pod_volume","Pod volume","container","telegraf","inodes_used_percent","Pod volume inodes used percent","%"
"rabbitmq_overview","rabbitmq_overview","ext_rabbitmq","telegraf","channels","channels","count"
"rabbitmq_overview","rabbitmq_overview","ext_rabbitmq","telegraf","consumers","consumers","count"
"rabbitmq_overview","rabbitmq_overview","ext_rabbitmq","telegraf","messages","messages","count"
"rabbitmq_overview","rabbitmq_overview","ext_rabbitmq","telegraf","queues","queues","count"
"rabbitmq_node","rabbitmq_node","ext_rabbitmq","telegraf","disk_free","disk_free","byte"
"rabbitmq_node","rabbitmq_node","ext_rabbitmq","telegraf","mem_used","mem_used","byte"
"rabbitmq_queue","rabbitmq_queue","ext_rabbitmq","telegraf","consumer_utilisation","consumer_utilisation","%"
"rabbitmq_queue","rabbitmq_queue","ext_rabbitmq","telegraf","message_bytes","message_bytes","byte"
"rabbitmq_queue","rabbitmq_queue","ext_rabbitmq","telegraf","message_bytes_ram","message_bytes_ram","byte"
"rabbitmq_queue","rabbitmq_queue","ext_rabbitmq","telegraf","messages","messages","count"
"rds_conn","Rds connection","rds","telegraf","used_percent","Connection usage","%"
"rds_conn","Rds connection","rds","telegraf","active_count","active connection count","count"
"rds_conn","Rds connection","rds","telegraf","failed_count","failed connection count","count"
"rds_cpu","Rds CPU usage","rds","telegraf","usage_active","CPU active state utilization rate","%"
"rds_mem","Rds memory","rds","telegraf","used_percent","Used memory rate","%"
"rds_netio","Rds network traffic","rds","telegraf","bps_recv","Received traffic per second","bps"
"rds_netio","Rds network traffic","rds","telegraf","bps_sent","Send traffic per second","bps"
"rds_disk","Rds disk usage","rds","telegraf","used_percent","Percentage of used disks","%"
"redis","redis","ext_redis","telegraf","used_memory","used_memory","byte"
"redis","redis","ext_redis","telegraf","used_memory_peak","used_memory_peak","byte"
"redis","redis","ext_redis","telegraf","used_cpu_sys","used_cpu_sys","%"
"redis","redis","ext_redis","telegraf","used_cpu_user","used_cpu_user","%"
"redis_keyspace","redis_keyspace","ext_redis","telegraf","keys","keys","count"
"redis_keyspace","redis_keyspace","ext_redis","telegraf","expires","expires","count"
"sensors","Collect lm-sensors metrics","host","telegraf","temp_input","lm-sensors temperature input",""
"agent_sensors","Collect lm-sensors metrics","agent","telegraf","temp_input","lm-sensors temperature input",""
"agent_smart_device","Collect smartctl metrics","agent","telegraf","temp_c","Disk device temperature ",""
"smart_device","Collect smartctl metrics","host","telegraf","temp_c","Disk device temperature ",""
"storage","Storage usage","storage","telegraf","usage_active","Storage utilization rate","%"
"storage","Storage usage","storage","telegraf","free","Free storage","Mb"
"swap","The swap plugin collects system swap metrics.","host","telegraf","free","(int, bytes): free swap memory","byte"
"swap","The swap plugin collects system swap metrics.","host","telegraf","total","(int, bytes): total swap memory","byte"
"swap","The swap plugin collects system swap metrics.","host","telegraf","used","(int, bytes): used swap memory","byte"
"swap","The swap plugin collects system swap metrics.","host","telegraf","used_percent","(float, percent): percentage of swap memory used","%"
"swap","The swap plugin collects system swap metrics.","host","telegraf","in","(int, bytes): data swapped in since last boot calculated from page number","byte"
"swap","The swap plugin collects system swap metrics.","host","telegraf","out","(int, bytes): data swapped out since last boot calculated from page number","byte"
"temp","The temp input plugin gather metrics on system temperature","host","telegraf","temp","(float, celcius)","NULL"
"agent_temp","The temp input plugin gather metrics on system temperature","guest","telegraf","temp","(float, celcius)","NULL"
